က/v|ခြင်း/part	ကခြင်း
ဟင်ဆမ်ရင်/n|အစိုးရ/n	ဟင်ဆမ်ရင်အစိုးရ
ဟင်ဒီ/n|စာပေ/n	ဟင်ဒီစာပေ
ဟင်ဒီ/n|ဘာသာ/n	ဟင်ဒီဘာသာ
ဟင်ဒူစတန်နီ/n|စကား/n	ဟင်ဒူစတန်နီစကား
ဟင်းရွက်/n|ဟင်းလျာ/n	ဟင်းရွက်ဟင်းလျာ
ဟင်းသီးဟင်းရွက်/n|ဆီ/n|ကြိတ်/v|လုပ်ငန်း/n	ဟင်းသီးဟင်းရွက်ဆီကြိတ်လုပ်ငန်း
ဟင်းသီးဟင်းရွက်/n|အသုပ်/n	ဟင်းသီးဟင်းရွက်အသုပ်
ဟင်္သာတ/n|မြို့/n	ဟင်္သာတမြို့
ဟစ်အော်/v|ခြင်း/part	ဟစ်အော်ခြင်း
ဟနုမန်/n|မျောက်/n	ဟနုမန်မျောက်
ဟန်/n|တရုတ်/n	ဟန်တရုတ်
ဟန်/n|မင်းဆက်/n	ဟန်မင်းဆက်
ဟန်ဂေရီ/n|နှစ်ခြင်း/n|ခရစ်ယာန်/n	ဟန်ဂေရီနှစ်ခြင်းခရစ်ယာန်
ဟန်ဆောင်/v|ကာကွယ်/v|ပြောဆို/v|ခြင်း/part	ဟန်ဆောင်ကာကွယ်ပြောဆိုခြင်း
ဟန်တွမ့်/n|ရိုးမ/n|တောင်တန်း/n	ဟန်တွမ့်ရိုးမတောင်တန်း
ဟန့်/n|လူမျိုး/n	ဟန့်လူမျိုး
ဟန့်တား/v|ခြင်း/part	ဟန့်တားခြင်း
ဟယ်လီတန်/n|ဟော်တယ်/n	ဟယ်လီတန်ဟော်တယ်
ဟာဒစ်/n|ကျမ်း/n	ဟာဒစ်ကျမ်း
ဟာပူ/n|လူမျိုးစု/n	ဟာပူလူမျိုးစု
ဟာလဝါ/n|လုပ်ငန်း/n	ဟာလဝါလုပ်ငန်း
ဟာဝိုင်းယန်း/n|ကျွန်း/n	ဟာဝိုင်းယန်းကျွန်း
ဟာသ/n|စာရေးဆရာ/n	ဟာသစာရေးဆရာ
ဟာသ/n|ဝတ္ထု/n	ဟာသဝတ္ထု
ဟာသ/n|ဝတ္ထုတို/n	ဟာသဝတ္ထုတို
ဟားဒ်ဗတ်/n|ကောလိပ်/n	ဟားဒ်ဗတ်ကောလိပ်
ဟိနာယ/n|ဗုဒ္ဓ/n|အယူဝါဒ/n	ဟိနာယဗုဒ္ဓအယူဝါဒ
ဟိန္ဒူ/num|ဘာသာ/n	ဟိန္ဒူဘာသာ
ဟိန္ဒူ/n|နတ်/n	ဟိန္ဒူနတ်
ဟိန္ဒူ/n|ပုံပြင်/n	ဟိန္ဒူပုံပြင်
ဟိန္ဒူ/n|ဘာသာ/n	ဟိန္ဒူဘာသာ
ဟိန္ဒူ/n|မင်း/n	ဟိန္ဒူမင်း
ဟိန္ဒူ/n|မင်းဆက်/n	ဟိန္ဒူမင်းဆက်
ဟိန္ဒူ/n|မွတ်စလင်/n|အဓိကရုဏ်း/n	ဟိန္ဒူမွတ်စလင်အဓိကရုဏ်း
ဟိန္ဒူ/n|လူမျိုး/n	ဟိန္ဒူလူမျိုး
ဟိန္ဒူ/n|အယူဝါဒ/n	ဟိန္ဒူအယူဝါဒ
ဟိန္ဒူ/n|အယူအဆ/n	ဟိန္ဒူအယူအဆ
ဟိန္ဒူ/n|အုပ်စု/n|ဝင်/v	ဟိန္ဒူအုပ်စုဝင်
ဟိန္ဒူစတန်/n|လွင်ပြင်/n	ဟိန္ဒူစတန်လွင်ပြင်
ဟိန္ဒူဗြဟ္မဏ/n|အယူဝါဒ/n	ဟိန္ဒူဗြဟ္မဏအယူဝါဒ
ဟိမန္တာ/n|တောင်စဉ်/n|တောင်တန်း/n	ဟိမန္တာတောင်စဉ်တောင်တန်း
ဟိမဝန္တာ/n|တောင်/n	ဟိမဝန္တာတောင်
ဟိမဝန္တာ/n|တောင်/n|ကြီး/part	ဟိမဝန္တာတောင်ကြီး
ဟိမဝန္တာ/n|တောင်တန်း/n	ဟိမဝန္တာတောင်တန်း
ဟိမဝန္တာ/n|တောင်တန်း/n|ကြီး/part	ဟိမဝန္တာတောင်တန်းကြီး
ဟိမဝန္တာ/n|တောင်တန်း/n|ဒေသ/n	ဟိမဝန္တာတောင်တန်းဒေသ
ဟိမာချာ/n|ဒေသ/n	ဟိမာချာဒေသ
ဟိုက်ဒရိုဂျင်/n|ဓာတ်ငွေ့/n	ဟိုက်ဒရိုဂျင်ဓာတ်ငွေ့
ဟိုက်ဒြိုဂျင်/n|ဒြပ်စင်/n	ဟိုက်ဒြိုဂျင်ဒြပ်စင်
ဟိုက်ဒြိုဂျင်/n|ဓာတ်ငွေ့/n	ဟိုက်ဒြိုဂျင်ဓာတ်ငွေ့
ဟိုက်ဒြိုဂျင်/n|မော်လီကျူး/n	ဟိုက်ဒြိုဂျင်မော်လီကျူး
ဟိုက်ဒြိုဂျင်/n|အက်တမ်/n	ဟိုက်ဒြိုဂျင်အက်တမ်
ဟိုင်နန်/n|ကျွန်း/n	ဟိုင်နန်ကျွန်း
ဟိုင်နန်/n|သင်တန်း/n|ကျောင်းဆင်း/n	ဟိုင်နန်သင်တန်းကျောင်းဆင်း
ဟိုတယ်/n|ကြီး/part	ဟိုတယ်ကြီး
ဟိုတယ်/n|ဇုန်/n	ဟိုတယ်ဇုန်
ဟိုတယ်/n|အကူ/n	ဟိုတယ်အကူ
ဟိုပုံး/n|မြို့/n	ဟိုပုံးမြို့
ဟီလတန်/n|ဟိုတယ်/n	ဟီလတန်ဟိုတယ်
ဟီလတန်/n|ဟော်တယ်/n	ဟီလတန်ဟော်တယ်
ဟီလီယမ်/n|ဓာတ်ငွေ့/n	ဟီလီယမ်ဓာတ်ငွေ့
ဟီလီယမ်/n|အက်တမ်/n	ဟီလီယမ်အက်တမ်
ဟီလီယံ/n|ဓာတ်ငွေ့/n	ဟီလီယံဓာတ်ငွေ့
ဟီလ်တန်/n|ဟိုတယ်/n	ဟီလ်တန်ဟိုတယ်
ဟူးကောင်း/n|ချိုင့်ဝှမ်း/n|ဒေသ/n	ဟူးကောင်းချိုင့်ဝှမ်းဒေသ
ဟူးကောင်း/n|နယ်/n	ဟူးကောင်းနယ်
ဟေတီ/n|ဒေသ/n	ဟေတီဒေသ
ဟေလတန်/n|ဟော်တယ်/n	ဟေလတန်ဟော်တယ်
ဟော/v|ခြင်း/part	ဟောခြင်း
ဟောက်စ်/n|ဝိုင်/n	ဟောက်စ်ဝိုင်
ဟောကြား/v|ချက်/part	ဟောကြားချက်
ဟောကြား/v|ပို့ချ/v|ချက်/part	ဟောကြားပို့ချချက်
ဟောင်ပါး/n|ဒေသ/n	ဟောင်ပါးဒေသ
ဟောပြ/v|ချက်/part	ဟောပြချက်
ဟောပြော/v|မှု/part	ဟောပြောမှု
ဟောလက်ပက်ကတ်/n|ဖောင်ဒေးရှင်း/n	ဟောလက်ပက်ကတ်ဖောင်ဒေးရှင်း
ဟဲဟိုး/n|မြို့/n	ဟဲဟိုးမြို့
ဟံသာဝတီ/n|တိုက်/n	ဟံသာဝတီတိုက်
ဟံသာဝတီ/n|ပြည်/n	ဟံသာဝတီပြည်
ဟံသာဝတီ/n|သတင်းစာတိုက်/n	ဟံသာဝတီသတင်းစာတိုက်
ဟံသာဝတီဆင်ဖြူများရှင်/n|မင်းတရား/n	ဟံသာဝတီဆင်ဖြူများရှင်မင်းတရား
ဟံသာဝတီပြည့်ရှင်/n|ဗညားဦး/n	ဟံသာဝတီပြည့်ရှင်ဗညားဦး
ဟွန်ဒါ/n|ယဉ်ကျေး/adj|မှု/part	ဟွန်ဒါယဉ်ကျေးမှု
ဟွန်းဒူးရပ်/n|နိုင်ငံ/n	ဟွန်းဒူးရပ်နိုင်ငံ
ဟွေး/n|လူမျိုး/n	ဟွေးလူမျိုး
အ/part|ဖျက်ဆီး/v|နိုင်/part|ဆုံး/part	အဖျက်ဆီးနိုင်ဆုံး
အကန့်အသတ်/n|ရှိ/v|ခြင်း/part	အကန့်အသတ်ရှိခြင်း
အကန့်အသတ်/n|ရှိ/v|မှု/part	အကန့်အသတ်ရှိမှု
အကယ်ဒမီ/n|ဆု/n	အကယ်ဒမီဆု
အကာမရူပီ/n|နဂါး/n|မျိုး/n	အကာမရူပီနဂါးမျိုး
အကာအကွယ်/n|ပေး/v|ခြင်း/part	အကာအကွယ်ပေးခြင်း
အကို/n|ဖြစ်/v|သူ/n	အကိုဖြစ်သူ
အကိုင်း/n|ကြီး/part	အကိုင်းကြီး
အကိုင်း/n|အခက်/n|အလက်/n	အကိုင်းအခက်အလက်
အကိုးအကားပြု/v|နိုင်/part|ကြ/part|စေ/part|ခြင်း/part	အကိုးအကားပြုနိုင်ကြစေခြင်း
အကူ/n|ကောင်လေး/n	အကူကောင်လေး
အကူအညီ/n|ပေး/v|ခြင်း/part	အကူအညီပေးခြင်း
အကူအညီ/n|ပေး/v|မှု/part	အကူအညီပေးမှု
အကောက်ခွန်/n|ကင်းလွတ်ခွင့်/n	အကောက်ခွန်ကင်းလွတ်ခွင့်
အကောက်ခွန်/n|လွတ်ငြိမ်း/v|ခွင့်/n	အကောက်ခွန်လွတ်ငြိမ်းခွင့်
အကောင်/n|ကြီး/part	အကောင်ကြီး
အကောင်/n|ပေါက်စ/n	အကောင်ပေါက်စ
အကောင်အထည်ပေါ်/v|လာ/part|ခြင်း/part	အကောင်အထည်ပေါ်လာခြင်း
အကောင်အထည်ဖော်/v|ခြင်း/part	အကောင်အထည်ဖော်ခြင်း
အကောင်အထည်ဖော်/v|သူ/n	အကောင်အထည်ဖော်သူ
အကောင်းမြင်/v|မှု/part	အကောင်းမြင်မှု
အက္ခရာ/n|စာလုံး/n	အက္ခရာစာလုံး
အက္ခရာဝလိ/n|စနစ်/n	အက္ခရာဝလိစနစ်
အက္ခရာဝလိ/n|နည်း/n	အက္ခရာဝလိနည်း
အက်စကီးမိုး/n|လူမျိုး/n	အက်စကီးမိုးလူမျိုး
အက်စတာရော့ဒ်/n|ဂြိုဟ်သိမ်/n	အက်စတာရော့ဒ်ဂြိုဟ်သိမ်
အက်စထရာခန်/n|သိုး/n	အက်စထရာခန်သိုး
အက်ဆစ်/n|တိမ်တိုက်/n	အက်ဆစ်တိမ်တိုက်
အက်တမ်/n|ခန္ဓာအိမ်/n	အက်တမ်ခန္ဓာအိမ်
အက်တမ်/n|ဒြပ်ထု/n	အက်တမ်ဒြပ်ထု
အက်တမ်/n|ဗဟိုထု/n	အက်တမ်ဗဟိုထု
အက်တမ်/n|လောက/n	အက်တမ်လောက
အက်တမ်/n|သီအိုရီ/n	အက်တမ်သီအိုရီ
အက်တမ်/n|အမှတ်/n	အက်တမ်အမှတ်
အက်တမ်/n|အမှုန်/n	အက်တမ်အမှုန်
အက်တမ်/n|အလေးဆ/n	အက်တမ်အလေးဆ
အက်တလက်/n|ဒုံးပျံ/n|ကြီး/part	အက်တလက်ဒုံးပျံကြီး
အက်တလပ်/n|တောင်/n	အက်တလပ်တောင်
အက်ဒင်ဗာရာ/n|မြို့/n	အက်ဒင်ဗာရာမြို့
အက်ဒမန်/n|ပင်လယ်ပြင်/n	အက်ဒမန်ပင်လယ်ပြင်
အက်ဗီဆီးနီးယား/n|နိုင်ငံ/n	အက်ဗီဆီးနီးယားနိုင်ငံ
အကျင့်/n|စာရိတ္တ/n	အကျင့်စာရိတ္တ
အကျင့်/n|သိက္ခာ/n	အကျင့်သိက္ခာ
အကျင့်/n|သီလ/n	အကျင့်သီလ
အကျဉ်းချ/v|ခြင်း/part	အကျဉ်းချခြင်း
အကျဉ်းချ/v|ထား/part|ခြင်း/part	အကျဉ်းချထားခြင်း
အကျဉ်းထောင်/n|စရိတ်/n	အကျဉ်းထောင်စရိတ်
အကျန်/n|မြစ်ဝှမ်း/n	အကျန်မြစ်ဝှမ်း
အကျယ်/n|ကြီး/part	အကျယ်ကြီး
အကျယ်ချုပ်/n|ချ/v|ထား/part|ခြင်း/part	အကျယ်ချုပ်ချထားခြင်း
အကျယ်ချုပ်/v|ခြင်း/part	အကျယ်ချုပ်ခြင်း
အကျိုး/n|သက်ရောက်/v|မှု/part	အကျိုးသက်ရောက်မှု
အကျိုး/n|အာနိသင်/n	အကျိုးအာနိသင်
အကျိုးဆောင်/v|မှု/part	အကျိုးဆောင်မှု
အကျိုးသက်ရောက်/v|မှု/part	အကျိုးသက်ရောက်မှု
အကြမ်း/n|သဘော/n	အကြမ်းသဘော
အကြမ်းဖက်/v|တိုက်ခိုက်/v|မှု/part	အကြမ်းဖက်တိုက်ခိုက်မှု
အကြမ်းဖက်/v|မှု/part	အကြမ်းဖက်မှု
အကြမ်းဖက်/v|မှု/part|နှိမ်နင်း/v|ရေး/part|ဥပဒေ/n	အကြမ်းဖက်မှုနှိမ်နင်းရေးဥပဒေ
အကြမ်းမဖက်/n|လှုပ်ရှား/v|မှု/part	အကြမ်းမဖက်လှုပ်ရှားမှု
အကြမ်းမဖက်/v|ရေး/part	အကြမ်းမဖက်ရေး
အကြား/n|အမြင်/n	အကြားအမြင်
အကြိုက်လိုက်/v|အာမခံချက်ပေး/v|ခြင်း/part	အကြိုက်လိုက်အာမခံချက်ပေးခြင်း
အကြောင်းပြ/v|ချက်/part	အကြောင်းပြချက်
အကြောင်းပြု/v|နှိပ်ကွပ်/v|ခဲ့/part|ခြင်း/part	အကြောင်းပြုနှိပ်ကွပ်ခဲ့ခြင်း
အကြံပေး/n|ပညာရှင်/n	အကြံပေးပညာရှင်
အကြံပေး/n|ပုဂ္ဂိုလ်/n	အကြံပေးပုဂ္ဂိုလ်
အကြံပေး/n|အဖွဲ့/n	အကြံပေးအဖွဲ့
အကြံပေး/v|ချက်/part	အကြံပေးချက်
အကြံပြု/v|ချက်/part	အကြံပြုချက်
အကြံပြု/v|စာ/n	အကြံပြုစာ
အကြံပြု/v|ရ/part|ခြင်း/part	အကြံပြုရခြင်း
အကြွေ/n|စေ့/n	အကြွေစေ့
အကြွေးဝယ်ခွင့်/n|ကဒ်/n	အကြွေးဝယ်ခွင့်ကဒ်
အကွေ့/n|အဝိုက်/n|အတွန့်/n|အကွန့်/n	အကွေ့အဝိုက်အတွန့်အကွန့်
အခက်/n|အလက်/n	အခက်အလက်
အခစား/v|သော/part|သူ/n	အခစားသောသူ
အခန်း/n|ကဏ္ဍ/n	အခန်းကဏ္ဍ
အခန်း/n|ခ/n	အခန်းခ
အခန်း/n|တွဲ/n	အခန်းတွဲ
အခန်း/n|တွဲ/n|တိုက်/n	အခန်းတွဲတိုက်
အခန်း/n|နံပါတ်/n	အခန်းနံပါတ်
အခန်း/n|မီး/n	အခန်းမီး
အခန်း/n|ဝန်ဆောင်/v|မှု/part	အခန်းဝန်ဆောင်မှု
အခန်း/n|အပူချိန်/n	အခန်းအပူချိန်
အခု/n|ခေတ်/n	အခုခေတ်
အချက်/n|ကြီး/part	အချက်ကြီး
အချစ်/n|မိုး/n|ကောင်းကင်/n	အချစ်မိုးကောင်းကင်
အချဉ်ဖောက်/v|ခြင်း/part	အချဉ်ဖောက်ခြင်း
အချိန်/n|ကာလ/n	အချိန်ကာလ
အချိန်/n|ဇယား/n	အချိန်ဇယား
အချိန်/n|နာရီ/n	အချိန်နာရီ
အချိန်ဆွဲ/v|နေ/part|ခြင်း/part	အချိန်ဆွဲနေခြင်း
အချိန်အခါ/n|ကြီး/part	အချိန်အခါကြီး
အချုပ်အခြာ/n|အာဏာ/n	အချုပ်အခြာအာဏာ
အချုပ်အခြာ/n|အာဏာပိုင်/n	အချုပ်အခြာအာဏာပိုင်
အချုပ်အခြာ/n|အာဏာပိုင်/n|နိုင်ငံ/n	အချုပ်အခြာအာဏာပိုင်နိုင်ငံ
အချုပ်အခြာ/n|အာဏာပိုင်/n|ပြည်ထောင်စု/n|သမ္မတနိုင်ငံ/n	အချုပ်အခြာအာဏာပိုင်ပြည်ထောင်စုသမ္မတနိုင်ငံ
အချုပ်အခြာ/n|အာဏာပိုင်/n|သမ္မတနိုင်ငံ/n	အချုပ်အခြာအာဏာပိုင်သမ္မတနိုင်ငံ
အခြေခံ/n|ပညာ/n	အခြေခံပညာ
အခြေခံ/n|ပညာ/n|အထက်တန်း/n|ကျောင်း/n	အခြေခံပညာအထက်တန်းကျောင်း
အခြေခံ/n|ဖွဲ့စည်းပုံ/n|ဥပဒေ/n	အခြေခံဖွဲ့စည်းပုံဥပဒေ
အခြေခံ/n|မူ/n	အခြေခံမူ
အခြေခံ/n|မူဝါဒ/n	အခြေခံမူဝါဒ
အခြေခံ/n|သဘော/n	အခြေခံသဘော
အခြေခံ/n|သဘောတရား/n	အခြေခံသဘောတရား
အခြေခံ/n|အုတ်မြစ်/n	အခြေခံအုတ်မြစ်
အခြေခံ/n|ဥပဒေ/n	အခြေခံဥပဒေ
အခြေခံ/n|ဥပဒေ/n|ဘောင်/n	အခြေခံဥပဒေဘောင်
အခြေချ/v|နေထိုင်/v|မှု/part	အခြေချနေထိုင်မှု
အခြေချ/v|နေထိုင်/v|ရာ/part	အခြေချနေထိုင်ရာ
အခြေချ/v|နေထိုင်/v|သူ/n	အခြေချနေထိုင်သူ
အခြေချ/v|သူ/n	အခြေချသူ
အခြေပြု/v|ထား/part|ခြင်း/part	အခြေပြုထားခြင်း
အခြောက်ခံ/v|ခြင်း/part	အခြောက်ခံခြင်း
အခွင့်ကောင်းယူ/v|နိုင်/part|ခဲ့/part|ခြင်း/part	အခွင့်ကောင်းယူနိုင်ခဲ့ခြင်း
အခွင့်အရေး/n|ဆိုင်ရာ/n	အခွင့်အရေးဆိုင်ရာ
အခွန်/n|ကင်းလွတ်/v|ပစ္စည်း/n	အခွန်ကင်းလွတ်ပစ္စည်း
အခွန်/n|မ/part|ပေး/v|ရေး/part|တိုက်ပွဲ/n	အခွန်မပေးရေးတိုက်ပွဲ
အခွန်တော်/n|စနစ်/n	အခွန်တော်စနစ်
အခွန်အခ/n|ပေး/v|ရေး/part|သပိတ်/n	အခွန်အခပေးရေးသပိတ်
အခွံ/n|ကြီး/part	အခွံကြီး
အဂတိလိုက်စား/v|မှု/part	အဂတိလိုက်စားမှု
အဂ္ဂမဟာပဏ္ဍိတ/n|ဆရာဖြေ/n	အဂ္ဂမဟာပဏ္ဍိတဆရာဖြေ
အဂ္ဂိမုခ/n|နဂါး/n	အဂ္ဂိမုခနဂါး
အဂ္ဂိရတ်/n|ဆရာ/n	အဂ္ဂိရတ်ဆရာ
အဂ္ဂိရတ်/n|ဆရာကြီး/n	အဂ္ဂိရတ်ဆရာကြီး
အင်ဂျင်နီယာ/n|ပညာရပ်/n	အင်ဂျင်နီယာပညာရပ်
အင်ဂျင်နီယာ/n|ဗိုလ်/n|အလက်ဇန္ဒားဖရေဇာ/n	အင်ဂျင်နီယာဗိုလ်အလက်ဇန္ဒားဖရေဇာ
အင်ဂျင်နီယာ/n|ဘူမိဗေဒ/n	အင်ဂျင်နီယာဘူမိဗေဒ
အင်ဂျင်နီယာ/n|မဟာ/n|ဌာန/n	အင်ဂျင်နီယာမဟာဌာန
အင်ဂျင်နီယာ/n|အတတ်/n	အင်ဂျင်နီယာအတတ်
အင်တာနက်/n|ခေတ်/n	အင်တာနက်ခေတ်
အင်တာနက်/n|စာမျက်နှာ/n	အင်တာနက်စာမျက်နှာ
အင်တာနက်/n|လောက/n	အင်တာနက်လောက
အင်တာနက်/n|ဝက်ဆိုက်/n	အင်တာနက်ဝက်ဆိုက်
အင်တာနက်/n|ဝန်ဆောင်/v|မှု/part	အင်တာနက်ဝန်ဆောင်မှု
အင်ဒို/n|ရောပ/n|လူမျိုးစပ်/n	အင်ဒိုရောပလူမျိုးစပ်
အင်ဒိုချိုင်းနား/n|ကျွန်းဆွယ်/n	အင်ဒိုချိုင်းနားကျွန်းဆွယ်
အင်ဒိုဂင်္ဂါ/n|လွင်ပြင်/n	အင်ဒိုဂင်္ဂါလွင်ပြင်
အင်ဒိုနီးရှား/n|ကျွန်းစု/n	အင်ဒိုနီးရှားကျွန်းစု
အင်ဒိုနီးရှား/n|စစ်သား/n	အင်ဒိုနီးရှားစစ်သား
အင်ဒိုနီးရှား/n|နိုင်ငံ/n	အင်ဒိုနီးရှားနိုင်ငံ
အင်ဒိုနီးရှား/n|ဘာသာ/n	အင်ဒိုနီးရှားဘာသာ
အင်ဒိုနီးရှား/n|လူမျိုးစု/n	အင်ဒိုနီးရှားလူမျိုးစု
အင်ဒိုနီးရှား/n|သမ္မတ/n|စနစ်/n	အင်ဒိုနီးရှားသမ္မတစနစ်
အင်ဒိုနီးရှား/n|သမ္မတနိုင်ငံ/n	အင်ဒိုနီးရှားသမ္မတနိုင်ငံ
အင်ဒိုဘားမား/n|ရေနံ/n|ကုမ္ပဏီ/n	အင်ဒိုဘားမားရေနံကုမ္ပဏီ
အင်ဒိုအာရိယန်/n|ဘာသာစကား/n	အင်ဒိုအာရိယန်ဘာသာစကား
အင်ဒီးယန်/n|လူမျိုး/n	အင်ဒီးယန်လူမျိုး
အင်ဒီးယန်း/n|လူမျိုး/n	အင်ဒီးယန်းလူမျိုး
အင်မိုင်ခ/n|မြစ်ဝှမ်း/n	အင်မိုင်ခမြစ်ဝှမ်း
အင်ဩဂဲနစ်/n|ဓာတုဗေဒ/n	အင်ဩဂဲနစ်ဓာတုဗေဒ
အင်း/n|ကြီး/part	အင်းကြီး
အင်းကော/n|မြို့/n	အင်းကောမြို့
အင်းကောဝတ်/n|ကျောင်း/n	အင်းကောဝတ်ကျောင်း
အင်းစိန်/n|ထောင်/n	အင်းစိန်ထောင်
အင်းဆက်/n|ပိုးကောင်/n	အင်းဆက်ပိုးကောင်
အင်းတော်ကြီး/n|ကန်/n	အင်းတော်ကြီးကန်
အင်းထရင့်/n|စာမေးပွဲ/n	အင်းထရင့်စာမေးပွဲ
အင်းယား/n|ကန်/n	အင်းယားကန်
အင်းလေး/n|ကန်/n	အင်းလေးကန်
အင်းလေး/n|ဒေသ/n	အင်းလေးဒေသ
အင်းလေး/n|ရေပြင်/n	အင်းလေးရေပြင်
အင်းဝ/n|ခေတ်/n	အင်းဝခေတ်
အင်းဝ/n|ခေတ်/n|နှောင်း/n|ပိုင်း/part	အင်းဝခေတ်နှောင်းပိုင်း
အင်းဝ/n|ဒေသ/n	အင်းဝဒေသ
အင်းဝ/n|မင်း/n	အင်းဝမင်း
အင်းဝ/n|မြို့/n	အင်းဝမြို့
အင်းသား/n|ယဉ်ကျေး/adj|မှု/part	အင်းသားယဉ်ကျေးမှု
အင်းသား/n|လူမျိုး/n	အင်းသားလူမျိုး
အင်းအိုင်ခါးလှည့်/n|လက်ဖွဲ့/n|မန္တန်/n	အင်းအိုင်ခါးလှည့်လက်ဖွဲ့မန္တန်
အင်္ကျီ/n|လက်/n	အင်္ကျီလက်
အင်္ဂလန်/n|နိုင်ငံ/n	အင်္ဂလန်နိုင်ငံ
အင်္ဂလန်/n|ပြည်/n	အင်္ဂလန်ပြည်
အင်္ဂလန်/n|ပြည်သား/n	အင်္ဂလန်ပြည်သား
အင်္ဂလန်/n|ပြည့်ရှင်/n|ဘုရင်/n	အင်္ဂလန်ပြည့်ရှင်ဘုရင်
အင်္ဂလိပ်/n|စကား/n	အင်္ဂလိပ်စကား
အင်္ဂလိပ်/n|စကား/n|ပြော/v|သူ/n	အင်္ဂလိပ်စကားပြောသူ
အင်္ဂလိပ်/n|စကားလုံး/n	အင်္ဂလိပ်စကားလုံး
အင်္ဂလိပ်/n|စစ်တပ်သား/n	အင်္ဂလိပ်စစ်တပ်သား
အင်္ဂလိပ်/n|စစ်သား/n	အင်္ဂလိပ်စစ်သား
အင်္ဂလိပ်/n|စာပေ/n	အင်္ဂလိပ်စာပေ
အင်္ဂလိပ်/n|စာရေးဆရာကြီး/n	အင်္ဂလိပ်စာရေးဆရာကြီး
အင်္ဂလိပ်/n|စွယ်စုံကျမ်း/n	အင်္ဂလိပ်စွယ်စုံကျမ်း
အင်္ဂလိပ်/n|တပ်/n	အင်္ဂလိပ်တပ်
အင်္ဂလိပ်/n|ဓမ္မ/n|ဆရာ/n	အင်္ဂလိပ်ဓမ္မဆရာ
အင်္ဂလိပ်/n|ဓလေ့/n	အင်္ဂလိပ်ဓလေ့
အင်္ဂလိပ်/n|နယ်ချဲ့/n	အင်္ဂလိပ်နယ်ချဲ့
အင်္ဂလိပ်/n|နိုင်ငံ/n	အင်္ဂလိပ်နိုင်ငံ
အင်္ဂလိပ်/n|ဗမာ/n|လူမျိုးစပ်/n	အင်္ဂလိပ်ဗမာလူမျိုးစပ်
အင်္ဂလိပ်/n|ဗြိတိသျှ/n	အင်္ဂလိပ်ဗြိတိသျှ
အင်္ဂလိပ်/n|ဘာသာ/n	အင်္ဂလိပ်ဘာသာ
အင်္ဂလိပ်/n|ဘာသာစကား/n	အင်္ဂလိပ်ဘာသာစကား
အင်္ဂလိပ်/n|မစ်ရှင်/n	အင်္ဂလိပ်မစ်ရှင်
အင်္ဂလိပ်/n|မြန်မာ/n|ကျောင်း/n	အင်္ဂလိပ်မြန်မာကျောင်း
အင်္ဂလိပ်/n|မြန်မာ/n|စစ်/n	အင်္ဂလိပ်မြန်မာစစ်
အင်္ဂလိပ်/n|မြန်မာ/n|စစ်ပွဲ/n	အင်္ဂလိပ်မြန်မာစစ်ပွဲ
အင်္ဂလိပ်/n|မြန်မာ/n|အထက်တန်း/n|ကျောင်း/n	အင်္ဂလိပ်မြန်မာအထက်တန်းကျောင်း
အင်္ဂလိပ်/n|ရေလက်ကြား/n	အင်္ဂလိပ်ရေလက်ကြား
အင်္ဂလိပ်/n|လူမျိုး/n	အင်္ဂလိပ်လူမျိုး
အင်္ဂလိပ်/n|ဝတ္ထု/n|ကြီး/part	အင်္ဂလိပ်ဝတ္ထုကြီး
အင်္ဂလိပ်/n|သက္ကရာဇ်/n	အင်္ဂလိပ်သက္ကရာဇ်
အင်္ဂလိပ်/n|သတ်ပုံ/n|ရေးထုံး/n	အင်္ဂလိပ်သတ်ပုံရေးထုံး
အင်္ဂလိပ်/n|သဒ္ဒါ/n	အင်္ဂလိပ်သဒ္ဒါ
အင်္ဂလိပ်/n|အက္ခရာ/n	အင်္ဂလိပ်အက္ခရာ
အင်္ဂလိပ်/n|အစိုးရ/n	အင်္ဂလိပ်အစိုးရ
အင်္ဂလိပ်/n|အနုစာပေ/n	အင်္ဂလိပ်အနုစာပေ
အင်္ဂလိပ်/n|အမည်/n	အင်္ဂလိပ်အမည်
အင်္ဂလိပ်/n|အရာရှိ/n	အင်္ဂလိပ်အရာရှိ
အင်္ဂလိပ်/n|အလိုတော်ရိ/n	အင်္ဂလိပ်အလိုတော်ရိ
အင်္ဂလိပ်/n|အသံထွက်/n	အင်္ဂလိပ်အသံထွက်
အင်္ဂလိပ်စာ/n|ပါမောက္ခ/n	အင်္ဂလိပ်စာပါမောက္ခ
အင်္ဂါ/n|ဂြိုဟ်/n	အင်္ဂါဂြိုဟ်
အင်္ဂါ/n|ဂြိုဟ်သား/n	အင်္ဂါဂြိုဟ်သား
အငြင်းပွား/v|စရာ/part	အငြင်းပွားစရာ
အငြင်းပွား/v|မှု/part	အငြင်းပွားမှု
အငွေ့ပြန်/v|ခြင်း/part	အငွေ့ပြန်ခြင်း
အငှားယာဉ်/n|ကုမ္ပဏီ/n	အငှားယာဉ်ကုမ္ပဏီ
အစ/n|ကနဦး/n	အစကနဦး
အစ/n|ပထမ/adj	အစပထမ
အစဉ်အလာ/n|ပွဲတော်/n	အစဉ်အလာပွဲတော်
အစဉ်အလာ/n|ရှိ/v|သူ/n	အစဉ်အလာရှိသူ
အစည်းအရုံး/n|ဝင်/v	အစည်းအရုံးဝင်
