ဆရာကြီး/n|ဦးစိန်/n	ဆရာကြီးဦးစိန်
ဗန်းမော်/n|မြို့/n	ဗန်းမော်မြို့
တောင်သုံးလုံး/n|မြို့/n	တောင်သုံးလုံးမြို့
ဆင်းသက်/v|ကြောင်း/part	ဆင်းသက်ကြောင်း
ပြောင်းလဲ/v|လာ/part|ကြောင်း/part	ပြောင်းလဲလာကြောင်း
မြောက်/n|ဘက်/n	မြောက်ဘက်
တရုတ်/n|ပြည်/n	တရုတ်ပြည်
အရှေ့မြောက်/n|ဘက်/n	အရှေ့မြောက်ဘက်
အနောက်/n|ဘက်/n	အနောက်ဘက်
မြန်မာ/n|ပြည်/n	မြန်မာပြည်
ပျူ/n|နိုင်ငံ/n	ပျူနိုင်ငံ
နိုင်ငံ/n|ရေး/part	နိုင်ငံရေး
ဗိုလ်ချုပ်/n|အောင်ဆန်း/n	ဗိုလ်ချုပ်အောင်ဆန်း
တိဗက်/n|ဒေသ/n	တိဗက်ဒေသ
ဧရာဝတီ/n|မြစ်ဝှမ်း/n	ဧရာဝတီမြစ်ဝှမ်း
ပါရဂူ/n|ဘွဲ့/n	ပါရဂူဘွဲ့
ဇွန်/n|လ/n	ဇွန်လ
လွတ်လပ်/v|မှု/part	လွတ်လပ်မှု
လုံခြုံ/v|စိတ်ချ/v|ခွင့်/n	လုံခြုံစိတ်ချခွင့်
မြန်မာ/n|လူငယ်/n	မြန်မာလူငယ်
စည်းလုံး/v|ညီညွတ်/v|မှု/part	စည်းလုံးညီညွတ်မှု
ဗြိတိသျှ/n|အစိုးရ/n|ခေတ်/n	ဗြိတိသျှအစိုးရခေတ်
ဖွံ့ဖြိုး/adj|တိုးတက်/v|မှု/part	ဖွံ့ဖြိုးတိုးတက်မှု
ပညာ/n|ရေး/part	ပညာရေး
အစိမ်း/n|သုပ်/n	အစိမ်းသုပ်
နန်ချောင်/n|နိုင်ငံ/n	နန်ချောင်နိုင်ငံ
တီထွင်/v|ထုတ်လုပ်/v|သူ/n	တီထွင်ထုတ်လုပ်သူ
ယုံကြည်/v|ချက်/part	ယုံကြည်ချက်
တရုတ်/n|နိုင်ငံ/n	တရုတ်နိုင်ငံ
ရင်း/n|အက္ခရာ/n	ရင်းအက္ခရာ
သိပ္ပံ/n|အဖွဲ့/n	သိပ္ပံအဖွဲ့
လုပ်ဆောင်/v|ချက်/part	လုပ်ဆောင်ချက်
ဝိုင်/n|အဖြူ/n	ဝိုင်အဖြူ
လွင်ပြင်/n|ဒေသ/n	လွင်ပြင်ဒေသ
ကောက်/n|မျိုး/n	ကောက်မျိုး
ကောက်/n|မျိုး/n	ကောက်မျိုး
ပန်ဒါဝက်ဝံ/n|ကြီး/part	ပန်ဒါဝက်ဝံကြီး
မြောက်အမေရိက/n|တိုက်/n	မြောက်အမေရိကတိုက်
မြောက်အာဖရိက/n|တိုက်/n	မြောက်အာဖရိကတိုက်
အိုးဝေ/n|မဂ္ဂဇင်း/n	အိုးဝေမဂ္ဂဇင်း
အင်ဒိုနီးရှား/n|နိုင်ငံ/n	အင်ဒိုနီးရှားနိုင်ငံ
အင်ဒိုနီးရှား/n|ဘာသာ/n	အင်ဒိုနီးရှားဘာသာ
ဝင်းဒိုး/n|စနစ်/n	ဝင်းဒိုးစနစ်
စစ်တိုက်/v|ရာ/part	စစ်တိုက်ရာ
ယဉ်ကျေး/adj|မှု/part	ယဉ်ကျေးမှု
အထိမ်းအမှတ်/n|ပန်း/n	အထိမ်းအမှတ်ပန်း
ကရင်/n|ဗမာ/n|အဓိကရုဏ်း/n	ကရင်ဗမာအဓိကရုဏ်း
နိုင်ငံ/n|ရေး/part|လှုပ်ရှား/v|မှု/part	နိုင်ငံရေးလှုပ်ရှားမှု
စစ်ဆင်/v|ရေး/part	စစ်ဆင်ရေး
ပိတ်/v|စေ/part|ခြင်း/part	ပိတ်စေခြင်း
ပိတ်ပင်/v|တားဆီး/v|မှု/part	ပိတ်ပင်တားဆီးမှု
ဖြစ်/v|သူ/n	ဖြစ်သူ
လူငယ်/n|အမျိုးသား/n|ရေး/part|ဝါဒီ/n	လူငယ်အမျိုးသားရေးဝါဒီ
နိုင်ငံ/n|ရေး/part	နိုင်ငံရေး
ဖွံ့ဖြိုး/adj|တိုးတက်/v|မှု/part	ဖွံ့ဖြိုးတိုးတက်မှု
ကျောင်းသား/n|ခေါင်းဆောင်/n	ကျောင်းသားခေါင်းဆောင်
အနော်ရထာ/n|မင်း/n	အနော်ရထာမင်း
ထေရဝါဒ/n|ဗုဒ္ဓ/n|ဘာသာ/n|ဝင်/v	ထေရဝါဒဗုဒ္ဓဘာသာဝင်
မ/part|ရှိ/v|သူ/n	မရှိသူ
စာရင်းအင်း/n|ပညာရှင်/n	စာရင်းအင်းပညာရှင်
နိုင်ငံ/n|ရေး/part|လှုပ်ရှား/v|မှု/part	နိုင်ငံရေးလှုပ်ရှားမှု
ဆန္ဒပြ/v|မှု/part	ဆန္ဒပြမှု
ပိတ်ပင်/v|တားမြစ်/v|ချက်/part	ပိတ်ပင်တားမြစ်ချက်
သင်္ကြန်/n|ပွဲတော်/n|ကြီး/part	သင်္ကြန်ပွဲတော်ကြီး
ဖျော်ဖြေ/v|ရေး/part	ဖျော်ဖြေရေး
မြန်မာ့/n|ရုပ်ရှင်/n	မြန်မာ့ရုပ်ရှင်
မြန်မာ့/n|ရုပ်ရှင်/n|ထူးချွန်ဆုပေးပွဲ/n	မြန်မာ့ရုပ်ရှင်ထူးချွန်ဆုပေးပွဲ
ဥရောပ/n|တိုက်/n	ဥရောပတိုက်
ကမ္ဘာ/n|စစ်/n|မီး/n	ကမ္ဘာစစ်မီး
လွတ်လပ်/v|ရေး/part	လွတ်လပ်ရေး
ထွက်ရပ်ဂိုဏ်း/n|ကြီး/part	ထွက်ရပ်ဂိုဏ်းကြီး
သခင်/n|အောင်ဆန်း/n	သခင်အောင်ဆန်း
ပုဂံ/n|မင်း/n	ပုဂံမင်း
ဂျပန်/n|စကား/n	ဂျပန်စကား
မြန်မာ/n|စာ/n	မြန်မာစာ
ကမ္ဘာ/n|စစ်/n|ကြီး/part	ကမ္ဘာစစ်ကြီး
ဇွန်/n|လ/n	ဇွန်လ
ပူတာအို/n|ဒေသ/n	ပူတာအိုဒေသ
အပြည်ပြည်/n|ဆိုင်ရာ/n|မျှတ/adj|မှု/part|ခုံရုံး/n	အပြည်ပြည်ဆိုင်ရာမျှတမှုခုံရုံး
အကြမ်းဖက်/v|မှု/part|နှိမ်နင်း/v|ရေး/part|ဥပဒေ/n	အကြမ်းဖက်မှုနှိမ်နင်းရေးဥပဒေ
ကျောက်/n|ကိရိယာ/n	ကျောက်ကိရိယာ
မြေ/n|မျက်နှာသွင်ပြင်/n	မြေမျက်နှာသွင်ပြင်
ကယား/n|လူမျိုး/n	ကယားလူမျိုး
ယဉ်ကျေး/adj|မှု/part|မနုဿဗေဒ/n	ယဉ်ကျေးမှုမနုဿဗေဒ
လူ့/n|အဖွဲ့အစည်း/n|မနုဿဗေဒ/n	လူ့အဖွဲ့အစည်းမနုဿဗေဒ
ဆင်းရဲ/v|သူ/n	ဆင်းရဲသူ
သဘာဝ/n|ပတ်ဝန်းကျင်/n	သဘာဝပတ်ဝန်းကျင်
ဝဋ်ကြွေး/n|ပေးဆပ်/v|ခြင်း/part	ဝဋ်ကြွေးပေးဆပ်ခြင်း
ရန်ကုန်/n|တက္ကသိုလ်/n	ရန်ကုန်တက္ကသိုလ်
ပါမောက္ခ/n|အယ်ဒတ်ဒလေစတမ့်/n	ပါမောက္ခအယ်ဒတ်ဒလေစတမ့်
ဘူမိဗေဒ/n|ဌာန/n	ဘူမိဗေဒဌာန
ပေါက်ထွက်/v|မှု/part	ပေါက်ထွက်မှု
အညစ်အကြေး/n|မစင်/n	အညစ်အကြေးမစင်
လယ်ယာ/n|ကဏ္ဍ/n	လယ်ယာကဏ္ဍ
တိုးတက်/v|မှု/part	တိုးတက်မှု
အားရ/v|စရာ/part	အားရစရာ
ရာစုနှစ်/n|ဦး/n	ရာစုနှစ်ဦး
ယုံကြည်/v|သူ/n	ယုံကြည်သူ
လူသီရန်/n|ကမ္ဘာ့/n|ကယ်ဆယ်/v|ရေး/part	လူသီရန်ကမ္ဘာ့ကယ်ဆယ်ရေး
ခရစ်ယာန်/n|အသင်း/n|တော်/part	ခရစ်ယာန်အသင်းတော်
ကမ္ဘာ့/n|ဝန်ဆောင်/v|မှု/part	ကမ္ဘာ့ဝန်ဆောင်မှု
လိုအပ်/v|ချက်/part	လိုအပ်ချက်
တောင်/n|ဘက်/n	တောင်ဘက်
မြန်မာ/n|သက္ကရာဇ်/n	မြန်မာသက္ကရာဇ်
ဝေဖန်/v|အကြံပြု/v|ခြင်း/part	ဝေဖန်အကြံပြုခြင်း
ဖွဲ့စည်း/v|အုပ်ချုပ်/v|ပုံ/part	ဖွဲ့စည်းအုပ်ချုပ်ပုံ
အခြေခံ/n|ဥပဒေ/n	အခြေခံဥပဒေ
အစိုးရ/n|အဖွဲ့/n	အစိုးရအဖွဲ့
ဗဟို/n|တရားရုံးချုပ်/n	ဗဟိုတရားရုံးချုပ်
ဗဟို/n|အစိုးရ/n	ဗဟိုအစိုးရ
အငြင်းပွား/v|မှု/part	အငြင်းပွားမှု
ကြားနာ/v|ပိုင်/v|ခွင့်/n	ကြားနာပိုင်ခွင့်
နေ/n|လှိုင်း/n	နေလှိုင်း
ရွှံ့ညွန်/n|ရေကွက်/n	ရွှံ့ညွန်ရေကွက်
အင်္ဂလိပ်/n|အမည်/n	အင်္ဂလိပ်အမည်
ဗရင်ဂျီ/n|ဘာသာ/n	ဗရင်ဂျီဘာသာ
လက်တင်/n|ဘာသာ/n	လက်တင်ဘာသာ
တတ်ကျွမ်း/v|မှု/part	တတ်ကျွမ်းမှု
ဓာတု/n|ပစ္စည်း/n	ဓာတုပစ္စည်း
ကိုးကွယ်/v|သူ/n	ကိုးကွယ်သူ
အဂ္ဂိမုခ/n|နဂါး/n	အဂ္ဂိမုခနဂါး
ထိုင်း/n|နိုင်ငံ/n	ထိုင်းနိုင်ငံ
မြောက်/n|ပိုင်း/part	မြောက်ပိုင်း
တနင်္သာရီ/n|တိုင်း/n	တနင်္သာရီတိုင်း
ကျမိုင်း/n|အနွယ်/n|ဝင်/v	ကျမိုင်းအနွယ်ဝင်
ပျော်/v|ဖွယ်/part|ရာ/part	ပျော်ဖွယ်ရာ
ကော့ဘိန်း/n|အရပ်/n	ကော့ဘိန်းအရပ်
မြန်မာ/n|နိုင်ငံ/n	မြန်မာနိုင်ငံ
ဗုဒ္ဓ/n|အယူဝါဒီ/n	ဗုဒ္ဓအယူဝါဒီ
ဗောဓိ/n|ညောင်ပင်/n	ဗောဓိညောင်ပင်
လုပ်ဆောင်/v|မှု/part	လုပ်ဆောင်မှု
ဇွန်/n|လ/n	ဇွန်လ
အမေရိကန်/n|ဒေါ်လာ/n	အမေရိကန်ဒေါ်လာ
ဇန္နဝါရီ/n|လ/n	ဇန္နဝါရီလ
ဗြိတိသျှ/n|အင်ပါယာ/n	ဗြိတိသျှအင်ပါယာ
လွတ်လပ်/v|ရေး/part	လွတ်လပ်ရေး
ရန်ကုန်/n|မြို့/n	ရန်ကုန်မြို့
ပြည်ထောင်စု/n|မြန်မာ/n|နိုင်ငံ/n	ပြည်ထောင်စုမြန်မာနိုင်ငံ
ချွေးထွက်လွန်/v|ခြင်း/part	ချွေးထွက်လွန်ခြင်း
မ/part|ကောင်း/adj|ခြင်း/part	မကောင်းခြင်း
နဂါး/n|ဝမ်းဗိုက်/n	နဂါးဝမ်းဗိုက်
ခုံး/n|ခွံ/n	ခုံးခွံ
ပျံ့နှံ့/v|ခြင်း/part	ပျံ့နှံ့ခြင်း
တရုတ်/n|သံအမတ်/n	တရုတ်သံအမတ်
အမျိုးသား/n|ဒီမိုကရေစီ/n|အဖွဲ့ချုပ်/n	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်
ဖမ်းဆီး/v|မှု/part	ဖမ်းဆီးမှု
ဖွံ့ဖြိုး/adj|မှု/part	ဖွံ့ဖြိုးမှု
ဖွံ့ဖြိုး/adj|မှု/part	ဖွံ့ဖြိုးမှု
ဖွံ့ဖြိုး/adj|မှု/part	ဖွံ့ဖြိုးမှု
ကမ္ဘာ/n|နိုင်ငံ/n	ကမ္ဘာနိုင်ငံ
စီးပွား/n|ရေး/part	စီးပွားရေး
ရင်းနှီးမြှုပ်နှံ/v|မှု/part	ရင်းနှီးမြှုပ်နှံမှု
ကုန်သွယ်/v|ရေး/part|ကဏ္ဍ/n	ကုန်သွယ်ရေးကဏ္ဍ
ပင်မ/n|ရေစီးကြောင်း/n	ပင်မရေစီးကြောင်း
စီးပွား/n|ရေး/part|ပုံစံ/n	စီးပွားရေးပုံစံ
စားသုံး/v|မှု/part	စားသုံးမှု
အကြံပြု/v|စာ/n	အကြံပြုစာ
တင်ပြ/v|ရ/part|ခြင်း/part	တင်ပြရခြင်း
ဖြစ်/v|ကြောင်း/part	ဖြစ်ကြောင်း
မြန်မာ/n|စာ/n	မြန်မာစာ
ပျူ/n|စာ/n	ပျူစာ
ကက်သုတ်/n|ရောင်ခြည်/n	ကက်သုတ်ရောင်ခြည်
အမ/n|ဓာတ်/n	အမဓာတ်
အမ/n|ဓာတ်/n	အမဓာတ်
ဘာသာစကား/n|ဗေဒ/n	ဘာသာစကားဗေဒ
ခေါ်/v|ခြင်း/part	ခေါ်ခြင်း
ဗြိတိသျှ/n|အင်ပိုင်ယာ/n	ဗြိတိသျှအင်ပိုင်ယာ
ကုန်သွယ်/v|ရေး/part	ကုန်သွယ်ရေး
စစ်/v|ရေး/part|ဒေသ/n	စစ်ရေးဒေသ
အုပ်ချုပ်/v|မှု/part	အုပ်ချုပ်မှု
ဘင်္ဂလားဒေ့ရှ်/n|နိုင်ငံ/n	ဘင်္ဂလားဒေ့ရှ်နိုင်ငံ
သဘာဝ/n|ဘေးအန္တရာယ်/n	သဘာဝဘေးအန္တရာယ်
ဘင်္ဂလားဒေ့ရှ်/n|နိုင်ငံ/n	ဘင်္ဂလားဒေ့ရှ်နိုင်ငံ
အောက်/n|ပိုင်း/part	အောက်ပိုင်း
ဒီဇင်ဘာ/n|လ/n	ဒီဇင်ဘာလ
ဆန့်ကျင်/v|ရေး/part	ဆန့်ကျင်ရေး
ရန်ကုန်/n|မြို့/n	ရန်ကုန်မြို့
စစ်/n|အုပ်ချုပ်/v|ရေး/part	စစ်အုပ်ချုပ်ရေး
ဇန်နဝါရီ/n|လ/n	ဇန်နဝါရီလ
ဖေဖော်ဝါရီ/n|လ/n	ဖေဖော်ဝါရီလ
ငါ့/pron|အဘ/n	ငါ့အဘ
အခစား/v|သော/part|သူ/n	အခစားသောသူ
အရေးထား/v|ခြင်း/part	အရေးထားခြင်း
တောင်/n|ဘက်/n	တောင်ဘက်
အခြေခံ/n|ပညာ/n|အထက်တန်း/n|ကျောင်း/n	အခြေခံပညာအထက်တန်းကျောင်း
စုပေါင်း/v|ပိုင်ဆိုင်/v|မှု/part	စုပေါင်းပိုင်ဆိုင်မှု
စုပေါင်း/v|ဆောင်ရွက်/v|နိုင်/part|မှု/part	စုပေါင်းဆောင်ရွက်နိုင်မှု
မြန်မာ/n|နိုင်ငံ/n	မြန်မာနိုင်ငံ
အပူပိုင်း/n|ဒေသ/n	အပူပိုင်းဒေသ
ကျွန်တော့်/pron|အခန်း/n	ကျွန်တော့်အခန်း
စင်ရော်ငှက်/n|ပေါက်စ/n	စင်ရော်ငှက်ပေါက်စ
သောကြာ/n|ဂြိုဟ်/n	သောကြာဂြိုဟ်
သောကြာ/n|ဂြိုဟ်/n	သောကြာဂြိုဟ်
သုံးစွဲ/v|မှု/part	သုံးစွဲမှု
ထုတ်လုပ်/v|မှု/part	ထုတ်လုပ်မှု
တိုင်းတာ/v|မှု/part	တိုင်းတာမှု
ပြည့်စုံ/v|သူ/n	ပြည့်စုံသူ
မြန်မာ/n|နိုင်ငံ/n	မြန်မာနိုင်ငံ
တောင်/n|ဘက်/n	တောင်ဘက်
အနောက်တောင်/n|ဘက်/n	အနောက်တောင်ဘက်
ဘင်္ဂလား/n|ပင်လယ်အော်/n	ဘင်္ဂလားပင်လယ်အော်
ကပ္ပလီ/n|ပင်လယ်/n	ကပ္ပလီပင်လယ်
ပင်လယ်/n|ကမ်းရိုးတန်း/n	ပင်လယ်ကမ်းရိုးတန်း
စင်္ကာပူ/n|နိုင်ငံ/n	စင်္ကာပူနိုင်ငံ
ဖိလစ်ပိုင်/n|နိုင်ငံ/n	ဖိလစ်ပိုင်နိုင်ငံ
ဩစတြေးလိယား/n|နိုင်ငံ/n	ဩစတြေးလိယားနိုင်ငံ
ပျံ့နှံ့/v|စေ/part|ခြင်း/part	ပျံ့နှံ့စေခြင်း
အမတ်/n|ကြီး/part|ဦးဖိုးစော/n	အမတ်ကြီးဦးဖိုးစော
တော်လှန်/v|ရေး/part	တော်လှန်ရေး
အမီနို/n|အက်ဆစ်/n	အမီနိုအက်ဆစ်
မြန်မာ/n|လူမျိုး/n	မြန်မာလူမျိုး
တတ်ကျွမ်း/v|သူ/n	တတ်ကျွမ်းသူ
စာပေ/n|ဗဟုသုတ/n	စာပေဗဟုသုတ
သင်ယူ/v|လေ့လာ/v|ဆည်းပူး/v|ခွင့်/n	သင်ယူလေ့လာဆည်းပူးခွင့်
အိန္ဒိယ/n|ဘာသာစကား/n	အိန္ဒိယဘာသာစကား
ရယူ/v|ခဲ့/part|ခြင်း/part	ရယူခဲ့ခြင်း
မန်ချက်စတာ/n|မြို့/n|သား/n	မန်ချက်စတာမြို့သား
အက်တမ်/n|သီအိုရီ/n	အက်တမ်သီအိုရီ
ဓာတု/n|အချိုး/n	ဓာတုအချိုး
ဓာတု/n|အချိုးအဆ/n	ဓာတုအချိုးအဆ
ပြည်ထောင်စု/n|မြန်မာ/n|နိုင်ငံ/n	ပြည်ထောင်စုမြန်မာနိုင်ငံ
အမျိုးသား/n|ညွန့်ပေါင်း/n|အစိုးရ/n|အဖွဲ့/n	အမျိုးသားညွန့်ပေါင်းအစိုးရအဖွဲ့
မြန်မာ/n|နိုင်ငံ/n	မြန်မာနိုင်ငံ
ကြေညာ/v|ထား/part|ခြင်း/part	ကြေညာထားခြင်း
မေ/n|လ/n	မေလ
ဆိုင်ကလုန်း/n|နာဂစ်/n	ဆိုင်ကလုန်းနာဂစ်
ရန်ကုန်/n|မြို့/n	ရန်ကုန်မြို့
လူထု/n|ဖွံ့ဖြိုး/adj|ရေး/part	လူထုဖွံ့ဖြိုးရေး
စာတတ်မြောက်/v|မှု/part	စာတတ်မြောက်မှု
ပညာ/n|ရေး/part	ပညာရေး
လူနေမှု/n|အဆင့်အတန်း/n	လူနေမှုအဆင့်အတန်း
အိမ်သူ/n|မိန်းမ/n	အိမ်သူမိန်းမ
သတ္တု/n|ချောင်း/n	သတ္တုချောင်း
အမ/n|ဓာတ်/n	အမဓာတ်
သတ္တု/n|ချောင်း/n	သတ္တုချောင်း
ပလူတို/n|ဂြိုဟ်/n	ပလူတိုဂြိုဟ်
ရတနာ/n|သိုက်/n	ရတနာသိုက်
ဗတ်စကာဗျီ/n|ခွေး/n|ကြီး/part	ဗတ်စကာဗျီခွေးကြီး
ဘာသာပြန်/n|ဝတ္ထု/n	ဘာသာပြန်ဝတ္ထု
ရေနက်/n|စပါး/n	ရေနက်စပါး
ယူနိုက်တစ်/n|လေကြောင်း/n|လိုင်း/n|ကောင်တာ/n	ယူနိုက်တစ်လေကြောင်းလိုင်းကောင်တာ
မြစ်ကြီးနား/n|မြို့/n	မြစ်ကြီးနားမြို့
နက်ဖြန်/n|နေ့/n	နက်ဖြန်နေ့
ဇရပ်/n|ရှင်/n	ဇရပ်ရှင်
ဖြစ်/v|နေ/part|ကြောင်း/part	ဖြစ်နေကြောင်း
မြန်မာ/n|နိုင်ငံ/n	မြန်မာနိုင်ငံ
အောက်/n|ပိုင်း/part	အောက်ပိုင်း
တနင်္သာရီ/n|တိုင်း/n	တနင်္သာရီတိုင်း
မြိတ်/n|ခရိုင်/n	မြိတ်ခရိုင်
ရုံးစိုက်/v|ရာ/part	ရုံးစိုက်ရာ
အာဖရိက/n|တိုက်/n	အာဖရိကတိုက်
အသားမာဖတ်/n|ကြီး/part	အသားမာဖတ်ကြီး
ညီညာ/v|နေ/part|ခြင်း/part	ညီညာနေခြင်း
တောင်တန်း/n|ကြီး/part	တောင်တန်းကြီး
သံလွင်/n|မြစ်/n	သံလွင်မြစ်
ရှမ်း/n|ကုန်းပြင်မြင့်/n|ဒေသ/n	ရှမ်းကုန်းပြင်မြင့်ဒေသ
တနင်္သာရီ/n|ကမ်းမြောင်/n	တနင်္သာရီကမ်းမြောင်
မြောက်/n|ပိုင်း/part	မြောက်ပိုင်း
ရ/v|ရာ/part	ရရာ
အောက်တိုဘာ/n|လ/n	အောက်တိုဘာလ
အင်ဒိုနီးရှား/n|နိုင်ငံ/n	အင်ဒိုနီးရှားနိုင်ငံ
တောမီး/n|လောင်ကျွမ်း/v|မှု/part	တောမီးလောင်ကျွမ်းမှု
ကျန်းမာ/v|ရေး/part	ကျန်းမာရေး
ဥရောပ/n|နိုင်ငံ/n	ဥရောပနိုင်ငံ
လေ့လာ/v|ဆည်းပူး/v|ရေး/part	လေ့လာဆည်းပူးရေး
မြန်မာ/n|ဘုရင်/n	မြန်မာဘုရင်
ရှိ/v|သူ/n	ရှိသူ
ဓနသဟာယ/n|နိုင်ငံ/n	ဓနသဟာယနိုင်ငံ
အဖွဲ့/n|ဝင်/v	အဖွဲ့ဝင်
ဘက်မလိုက်လှုပ်ရှား/v|မှု/part	ဘက်မလိုက်လှုပ်ရှားမှု
အသင်း/n|ဝင်/v	အသင်းဝင်
တရုတ်/n|လူမျိုး/n	တရုတ်လူမျိုး
ဝတ္ထု/n|ရေး/v|ဆရာကြီး/n	ဝတ္ထုရေးဆရာကြီး
အသိုက်/n|တွင်း/n	အသိုက်တွင်း
သုတေသန/n|ပညာရှင်/n	သုတေသနပညာရှင်
နေထိုင်/v|သူ/n	နေထိုင်သူ
လူနေမှု/n|အဆင့်အတန်း/n	လူနေမှုအဆင့်အတန်း
ပျော်ရွှင်/v|မှု/part	ပျော်ရွှင်မှု
ဆိုဗီယက်ရုရှ/n|နိုင်ငံ/n	ဆိုဗီယက်ရုရှနိုင်ငံ
အရှေ့တိုင်း/n|ဒဿနိကဗေဒ/n	အရှေ့တိုင်းဒဿနိကဗေဒ
အိန္ဒိယ/n|ဒဿနိကဗေဒ/n	အိန္ဒိယဒဿနိကဗေဒ
နိုင်ငံတော်/n|ငြိမ်ဝပ်/v|ပိပြား/v|မှု/part|တည်ဆောက်/v|ရေး/part|အဖွဲ့/n	နိုင်ငံတော်ငြိမ်ဝပ်ပိပြားမှုတည်ဆောက်ရေးအဖွဲ့
အာဖရိက/n|တိုက်/n	အာဖရိကတိုက်
ပစ်ခတ်/v|သူ/n	ပစ်ခတ်သူ
မဟာလောကမာရဇိန်/n|စေတီတော်/n	မဟာလောကမာရဇိန်စေတီတော်
ဝက်သစ်ချ/n|အဖြူ/n	ဝက်သစ်ချအဖြူ
အမှုဆောင်/n|အရာရှိချုပ်/n	အမှုဆောင်အရာရှိချုပ်
ဆောင်း/n|ရာသီ/n	ဆောင်းရာသီ
တော/n|ပင်/n	တောပင်
မီးရှို့/v|ခြင်း/part	မီးရှို့ခြင်း
အသံ/n|ဖမ်း/v|ကက်စက်/n	အသံဖမ်းကက်စက်
မဟာဘုတ်/n|ပညာ/n	မဟာဘုတ်ပညာ
ကသစ်/n|မဟာဘုတ်/n	ကသစ်မဟာဘုတ်
အခန်း/n|ကဏ္ဍ/n	အခန်းကဏ္ဍ
ပြည်/n|ခရိုင်/n	ပြည်ခရိုင်
ပေါင်းတလည်/n|မြို့/n	ပေါင်းတလည်မြို့
ရှိုင်ယာ/n|မြင်း/n	ရှိုင်ယာမြင်း
ကိုယ်/n|အလေးချိန်/n	ကိုယ်အလေးချိန်
ခြေတံ/n|လက်တံ/n	ခြေတံလက်တံ
ခွဲရေးတွဲရေး/n|အရေးအခင်း/n	ခွဲရေးတွဲရေးအရေးအခင်း
လွတ်လပ်/v|ရေး/part	လွတ်လပ်ရေး
ဆူပူ/v|သောင်းကျန်း/v|မှု/part	ဆူပူသောင်းကျန်းမှု
မြစ်ဖျားခံ/v|ရာ/part	မြစ်ဖျားခံရာ
စစ်/n|အစိုးရ/n	စစ်အစိုးရ
နေရာ/n|ဒေသ/n	နေရာဒေသ
အင်္ဂလိပ်/n|အမည်/n	အင်္ဂလိပ်အမည်
တပ်မတော်/n|အရာရှိ/n	တပ်မတော်အရာရှိ
သုံး/v|ခြင်း/part	သုံးခြင်း
သုံးစွဲ/v|သူ/n	သုံးစွဲသူ
ဝန်ဆောင်/v|မှု/part	ဝန်ဆောင်မှု
တိုင်းရင်းသား/n|မျိုးနွယ်စု/n	တိုင်းရင်းသားမျိုးနွယ်စု
ယုံကြည်/v|ကိုးကွယ်/v|မှု/part	ယုံကြည်ကိုးကွယ်မှု
ကရင်/n|လူမျိုး/n	ကရင်လူမျိုး
မြောက်/n|ဘက်/n	မြောက်ဘက်
ကချင်/n|လူမျိုး/n	ကချင်လူမျိုး
ချင်း/n|လူမျိုး/n	ချင်းလူမျိုး
ပြည်သူ/n|ပြည်သား/n	ပြည်သူပြည်သား
နက္ခတ္တဗေဒ/n|ပညာရှင်/n	နက္ခတ္တဗေဒပညာရှင်
အင်္ဂလိပ်/n|မြန်မာ/n|စစ်ပွဲ/n	အင်္ဂလိပ်မြန်မာစစ်ပွဲ
ရန္တပို/n|စာချုပ်/n	ရန္တပိုစာချုပ်
မြန်မာ/n|နိုင်ငံ/n	မြန်မာနိုင်ငံ
မော်လမြိုင်/n|မြို့/n	မော်လမြိုင်မြို့
အောက်/n|မြန်မာ/n|ပြည်/n	အောက်မြန်မာပြည်
မြန်မာ/n|အီးဂရက်စ်/n	မြန်မာအီးဂရက်စ်
အရေးယူ/v|ဆောင်ရွက်/v|ခြင်း/part	အရေးယူဆောင်ရွက်ခြင်း
ဘေး/n|အန္တရာယ်/n	ဘေးအန္တရာယ်
ကယ်ဆယ်/v|ရေး/part	ကယ်ဆယ်ရေး
လှုပ်ရှား/v|မှု/part	လှုပ်ရှားမှု
ရေနံချောင်း/n|မြို့/n	ရေနံချောင်းမြို့
စက်တင်ဘာ/n|လ/n	စက်တင်ဘာလ
စနေ/n|နေ့/n	စနေနေ့
ရထား/n|ဘူတာ/n	ရထားဘူတာ
ခိုင်းစေ/v|ရာ/part	ခိုင်းစေရာ
မရူ/n|လူမျိုး/n	မရူလူမျိုး
ကာလကတ္တား/n|တက္ကသိုလ်/n	ကာလကတ္တားတက္ကသိုလ်
ဝင်ခွင့်/n|စာမေးပွဲ/n	ဝင်ခွင့်စာမေးပွဲ
တနင်္လာ/n|နေ့/n	တနင်္လာနေ့
စီးပွား/n|ရေး/part	စီးပွားရေး
သဘောတူညီ/v|မှု/part	သဘောတူညီမှု
ဂွါတီမာလာ/n|နိုင်ငံ/n	ဂွါတီမာလာနိုင်ငံ
ပညာ/n|ခွဲ/n	ပညာခွဲ
သဘာဝတရား/n|ကြီး/part	သဘာဝတရားကြီး
ဖေးမ/v|ရွေးချယ်/v|မှု/part	ဖေးမရွေးချယ်မှု
ဘဝ/n|သရုပ်ဖော်/n|တေးဂီတ/n	ဘဝသရုပ်ဖော်တေးဂီတ
တောင်တန်း/n|ကြီး/part	တောင်တန်းကြီး
မြစ်/n|ကြီး/part	မြစ်ကြီး
ဧရာဝတီ/n|မြစ်/n	ဧရာဝတီမြစ်
သံလွင်/n|မြစ်/n	သံလွင်မြစ်
